original_id,related_id,title,slug,shared_tags_count
17dde129-92b7-46a2-935e-5890a39239be,abbe4bcb-4614-4e99-96db-3e6fd2e2853e,Deepfakes-as-a-Service: The Democratization of AI Identity Theft in 2026,emerging-ai-threats-2026-deepfakes-daas-report,1
17dde129-92b7-46a2-935e-5890a39239be,a67164c5-18aa-4c3c-bfef-1724cb3da4cc,WEF Global Cybersecurity Outlook 2026: AI and Geopolitics Converge,wef-global-cybersecurity-outlook-2026-summary,1
17dde129-92b7-46a2-935e-5890a39239be,c3d4e5f6-b7c8-4a9b-0d1e-2f3a4b5c6d7e,AI Cyber Threats 2026,ai-cyber-threats-2026-report,1
17dde129-92b7-46a2-935e-5890a39239be,aff9ceb8-3a85-4470-b29f-b59244324c1e,Top Cybersecurity Challenges 2026: Ransomware 5.0 and the Agentic Attack Surface,top-cybersecurity-challenges-2026-industry-analysis,1
17dde129-92b7-46a2-935e-5890a39239be,773f8c90-105c-4fe5-8b3c-ac15081c02a4,Deepfakes-as-a-Service: The 2026 Democratization of Cybercrime,emerging-ai-threats-2026-deepfakes-as-a-service,1
3ebb1b34-72e6-404f-8bdb-e2d975cc6ec5,4f06e103-495c-42d8-ba8e-f64448cc3049,Red Hat GitHub Attack: Supply Chain Breach via Compromised Consulting Repos,red-hat-github-attack-supply-chain-integrity-2026,1
3ebb1b34-72e6-404f-8bdb-e2d975cc6ec5,87761caa-336c-43b3-b3d8-9f7f1e41c5c4,Brightspeed Breach: Crimson Collective Ransomware Exposes 1M+ Records,brightspeed-breach-crimson-collective-analysis,1
4f06e103-495c-42d8-ba8e-f64448cc3049,3ebb1b34-72e6-404f-8bdb-e2d975cc6ec5,Red Hat Consulting Breach: 570GB Stolen from GitLab Instances,red-hat-gitlab-breach-crimson-collective-report,1
4f06e103-495c-42d8-ba8e-f64448cc3049,83158d21-de3a-4a23-827d-2a7eff3a1143,ASUS Supplier Breach: The Looming Threat of Hardware Backdoors,asus-supplier-firmware-breach-hardware-backdoor,1
4f06e103-495c-42d8-ba8e-f64448cc3049,87761caa-336c-43b3-b3d8-9f7f1e41c5c4,Brightspeed Breach: Crimson Collective Ransomware Exposes 1M+ Records,brightspeed-breach-crimson-collective-analysis,1
4f06e103-495c-42d8-ba8e-f64448cc3049,7fdad2d2-5533-4b3d-98e9-1b70b09631ec,Asus Supplier Breach: Firmware Backdoors and the Ring -2 Threat,asus-supplier-breach-firmware-backdoor-analysis-2026,1
773f8c90-105c-4fe5-8b3c-ac15081c02a4,c3d4e5f6-b7c8-4a9b-0d1e-2f3a4b5c6d7e,AI Cyber Threats 2026,ai-cyber-threats-2026-report,1
773f8c90-105c-4fe5-8b3c-ac15081c02a4,a67164c5-18aa-4c3c-bfef-1724cb3da4cc,WEF Global Cybersecurity Outlook 2026: AI and Geopolitics Converge,wef-global-cybersecurity-outlook-2026-summary,1
773f8c90-105c-4fe5-8b3c-ac15081c02a4,17dde129-92b7-46a2-935e-5890a39239be,WEF Global Cybersecurity Outlook 2026: The AI Arms Race and Geopolitical Fragmentation,global-cybersecurity-outlook-2026-wef-report,1
773f8c90-105c-4fe5-8b3c-ac15081c02a4,abbe4bcb-4614-4e99-96db-3e6fd2e2853e,Deepfakes-as-a-Service: The Democratization of AI Identity Theft in 2026,emerging-ai-threats-2026-deepfakes-daas-report,1
773f8c90-105c-4fe5-8b3c-ac15081c02a4,aff9ceb8-3a85-4470-b29f-b59244324c1e,Top Cybersecurity Challenges 2026: Ransomware 5.0 and the Agentic Attack Surface,top-cybersecurity-challenges-2026-industry-analysis,1
77777777-7777-7777-7777-777777777777,b1111111-1111-1111-1111-111111111111,NVIDIA Rubin AI Architecture: The 100-Petaflop Superchip,nvidia-rubin-ai-architecture-specs-release-date,1
